Data,Method,Measure,Value
Adult_Data,d,discrepancy,0.128
Adult_Data,d,disagreement,"DescribeResult(nobs=28, minmax=(0.0, 0.09965451055662188), mean=0.052212777625445565, variance=0.001048402520516166, skewness=-0.10331451084591078, kurtosis=-1.4285772358321616)"
German_Data,M,variance in predictions,"DescribeResult(nobs=200, minmax=(0.00010903966991198575, 0.12685432341656697), mean=0.020648802841561745, variance=0.00048104555988087515, skewness=1.9897329082076176, kurtosis=4.5224725463394595)"
German_Data,M,ambiguity,0.362
German_Data,M,discrepancy,0.235
German_Data,M,disagreement,"DescribeResult(nobs=28, minmax=(0.0, 0.2275), mean=0.12258928571428572, variance=0.004334482473544974, skewness=-0.30140838494507466, kurtosis=-1.1173621907359397)"
German_Data,a,variance in predictions,"DescribeResult(nobs=200, minmax=(9.714443319431456e-05, 0.04728594598896014), mean=0.010293663106815098, variance=5.9131733590192925e-05, skewness=1.4591864693694265, kurtosis=3.006243081372097)"
German_Data,a,ambiguity,0.375
German_Data,a,discrepancy,0.208
German_Data,a,disagreement,"DescribeResult(nobs=1540, minmax=(0.0, 0.225), mean=0.07281493506493507, variance=0.0021826736559412, skewness=0.41281297457125166, kurtosis=-0.19494176662318363)"
German_Data,b,variance in predictions,"DescribeResult(nobs=200, minmax=(8.823296460037481e-05, 0.035303742423474005), mean=0.008647218389818074, variance=4.9430777563620146e-05, skewness=1.3477645888770162, kurtosis=1.6682243602451123)"
German_Data,b,ambiguity,0.31
German_Data,b,discrepancy,0.183
German_Data,b,disagreement,"DescribeResult(nobs=378, minmax=(0.0, 0.16), mean=0.06114417989417989, variance=0.0018649174859304166, skewness=0.29687641076060534, kurtosis=-0.726602787755708)"
German_Data,c,variance in predictions,"DescribeResult(nobs=200, minmax=(7.254344031515563e-05, 0.033414133207208395), mean=0.008785954115502488, variance=5.868933216575668e-05, skewness=1.2836314898935957, kurtosis=1.0068641319868021)"
German_Data,c,ambiguity,0.235
German_Data,c,discrepancy,0.15
German_Data,c,disagreement,"DescribeResult(nobs=28, minmax=(0.0, 0.1425), mean=0.06857142857142857, variance=0.0015298280423280423, skewness=0.3203731377264494, kurtosis=-0.7184029495519519)"
German_Data,d,variance in predictions,"DescribeResult(nobs=200, minmax=(6.614405147098695e-05, 0.04799680393489147), mean=0.007008187981532621, variance=6.356422152872958e-05, skewness=2.160541963620163, kurtosis=5.274754829807215)"
German_Data,d,ambiguity,0.189
German_Data,d,discrepancy,0.129
German_Data,d,disagreement,"DescribeResult(nobs=21, minmax=(0.0, 0.1), mean=0.0488095238095238, variance=0.001301011904761905, skewness=0.113918161391347, kurtosis=-1.3960710119861426)"
Folk_Income_Data,M,variance in predictions,"DescribeResult(nobs=19785, minmax=(0.0017817079217861808, 0.14079055343224411), mean=0.024187894914080462, variance=0.00017858666929780685, skewness=2.6948444106850347, kurtosis=11.806523226815159)"
Folk_Income_Data,M,ambiguity,0.469
Folk_Income_Data,M,discrepancy,0.352
Folk_Income_Data,M,disagreement,"DescribeResult(nobs=36, minmax=(0.0, 0.37604245640636846), mean=0.15164757251565442, variance=0.013478779540789302, skewness=0.6658831494256707, kurtosis=-0.7645146040620823)"
Folk_Income_Data,a,variance in predictions,"DescribeResult(nobs=19785, minmax=(0.0005341856852922588, 0.08540506406431625), mean=0.009558614646542618, variance=7.031958100880227e-05, skewness=2.205283885628022, kurtosis=8.240512039700764)"
Folk_Income_Data,a,ambiguity,0.381
Folk_Income_Data,a,discrepancy,0.213
Folk_Income_Data,a,disagreement,"DescribeResult(nobs=2556, minmax=(0.0, 0.1995451099317665), mean=0.06428590920470173, variance=0.002166473905807102, skewness=0.4499715183695789, kurtosis=-0.5464378493742559)"
Folk_Income_Data,b,variance in predictions,"DescribeResult(nobs=19785, minmax=(2.2625556972616558e-05, 0.080648654772239), mean=0.008261110831603387, variance=6.413367319803747e-05, skewness=2.184740868141425, kurtosis=7.5141119840593475)"
Folk_Income_Data,b,ambiguity,0.307
Folk_Income_Data,b,discrepancy,0.182
Folk_Income_Data,b,disagreement,"DescribeResult(nobs=630, minmax=(0.0, 0.19423805913570888), mean=0.05577365408297933, variance=0.0022599406682411167, skewness=0.5667888849296685, kurtosis=-0.5510010060226915)"
Folk_Income_Data,c,variance in predictions,"DescribeResult(nobs=19785, minmax=(1.032376759552206e-05, 0.17711196329681175), mean=0.01355508934640722, variance=0.0002597651251127526, skewness=2.6109502920500427, kurtosis=9.595756583455545)"
Folk_Income_Data,c,ambiguity,0.277
Folk_Income_Data,c,discrepancy,0.17
Folk_Income_Data,c,disagreement,"DescribeResult(nobs=36, minmax=(0.0, 0.1627242860753096), mean=0.09187234998455623, variance=0.002780889627497102, skewness=-0.24637415545267147, kurtosis=-1.4041414321369345)"
Folk_Income_Data,d,variance in predictions,"DescribeResult(nobs=19785, minmax=(5.392790888110522e-13, 0.038500194400907094), mean=0.0018839458379839595, variance=6.616620668018413e-06, skewness=2.700841814150229, kurtosis=13.233694818091063)"
Folk_Income_Data,d,ambiguity,0.074
Folk_Income_Data,d,discrepancy,0.074
Folk_Income_Data,d,disagreement,"DescribeResult(nobs=28, minmax=(0.0, 0.010942633308061663), mean=0.004689699989169284, variance=3.041046951484458e-05, skewness=0.28867513459481287, kurtosis=-1.9166666666666667)"
Folk_Travel_Data,M,variance in predictions,"DescribeResult(nobs=17615, minmax=(3.970603675765659e-06, 0.1268004849132), mean=0.0052985522496924115, variance=7.842462994354106e-05, skewness=5.665927434695011, kurtosis=46.19454178761335)"
Folk_Travel_Data,M,ambiguity,0.149
Folk_Travel_Data,M,discrepancy,0.108
Folk_Travel_Data,M,disagreement,"DescribeResult(nobs=10, minmax=(0.0, 0.07317834738425728), mean=0.029143603281387494, variance=0.0005198682401183406, skewness=0.18004490799236023, kurtosis=-0.3681252283591121)"
Folk_Travel_Data,a,variance in predictions,"DescribeResult(nobs=17615, minmax=(3.3436662532763442e-06, 0.0743798748208925), mean=0.0036226133594817666, variance=2.324297874223841e-05, skewness=5.159610344490815, kurtosis=44.53332459166505)"
Folk_Travel_Data,a,ambiguity,0.146
Folk_Travel_Data,a,discrepancy,0.102
Folk_Travel_Data,a,disagreement,"DescribeResult(nobs=190, minmax=(0.0, 0.0656277498651679), mean=0.0171406332402581, variance=0.0002779210492853129, skewness=0.8119806473535078, kurtosis=0.118728329175255)"
Folk_Travel_Data,b,variance in predictions,"DescribeResult(nobs=17615, minmax=(2.490651591981637e-07, 0.07205932553150864), mean=0.003217835106500367, variance=1.6844680636786634e-05, skewness=2.921372255932878, kurtosis=15.970997977998678)"
Folk_Travel_Data,b,ambiguity,0.105
Folk_Travel_Data,b,discrepancy,0.086
Folk_Travel_Data,b,disagreement,"DescribeResult(nobs=45, minmax=(0.0, 0.0365040165772517), mean=0.014993960152778171, variance=0.00022332539166285907, skewness=0.26755542253110964, kurtosis=-1.5747654738323136)"
Folk_Travel_Data,c,variance in predictions,"DescribeResult(nobs=17615, minmax=(3.8501196270172286e-07, 0.11587445835060127), mean=0.0027444182686291035, variance=4.3927945788816013e-05, skewness=8.25604825537575, kurtosis=92.31659791038517)"
Folk_Travel_Data,c,ambiguity,0.098
Folk_Travel_Data,c,discrepancy,0.082
Folk_Travel_Data,c,disagreement,"DescribeResult(nobs=10, minmax=(0.0, 0.03553890260864628), mean=0.01134008913111357, variance=0.00015608655104466, skewness=0.7138677359856588, kurtosis=-0.8279716763580587)"
Folk_Travel_Data,d,variance in predictions,"DescribeResult(nobs=17615, minmax=(3.998609920957604e-07, 0.08871688397392134), mean=0.004404099424050224, variance=3.129317410284399e-05, skewness=4.382128656808771, kurtosis=35.900459704120024)"
Folk_Travel_Data,d,ambiguity,0.118
Folk_Travel_Data,d,discrepancy,0.085
Folk_Travel_Data,d,disagreement,"DescribeResult(nobs=6, minmax=(0.0, 0.03590791677311306), mean=0.016610368351831353, variance=0.00015815207772056994, skewness=0.19319820252945563, kurtosis=-0.8236841542603233)"
Folk_Mobility_Data,M,variance in predictions,"DescribeResult(nobs=6899, minmax=(0.0009093000068182925, 0.10893554252323472), mean=0.019431365652932353, variance=0.0001254743834260125, skewness=2.4401326526878133, kurtosis=10.146826868720446)"
Folk_Mobility_Data,M,ambiguity,0.419
Folk_Mobility_Data,M,discrepancy,0.289
Folk_Mobility_Data,M,disagreement,"DescribeResult(nobs=28, minmax=(7.247952453431905e-05, 0.3656592012756396), mean=0.14608765880781535, variance=0.015117221180449388, skewness=0.6111888192008149, kurtosis=-1.0725324455923413)"
Folk_Mobility_Data,a,variance in predictions,"DescribeResult(nobs=6899, minmax=(0.00010280027797833567, 0.06815348530811305), mean=0.007363585525436892, variance=3.673126021645274e-05, skewness=2.483404983649931, kurtosis=10.395529836759886)"
Folk_Mobility_Data,a,ambiguity,0.33
Folk_Mobility_Data,a,discrepancy,0.161
Folk_Mobility_Data,a,disagreement,"DescribeResult(nobs=1540, minmax=(0.0, 0.2069290425454809), mean=0.05033646501356873, variance=0.0016228800836540823, skewness=0.6111546093981535, kurtosis=-0.2753284463757124)"
Folk_Mobility_Data,b,variance in predictions,"DescribeResult(nobs=6899, minmax=(3.372601474116609e-05, 0.10728121229429327), mean=0.0060314185226623285, variance=4.5085529295248e-05, skewness=3.6934825363602184, kurtosis=24.159145053334438)"
Folk_Mobility_Data,b,ambiguity,0.268
Folk_Mobility_Data,b,discrepancy,0.148
Folk_Mobility_Data,b,disagreement,"DescribeResult(nobs=378, minmax=(0.0, 0.14735087337827063), mean=0.038882580485827566, variance=0.0011705878751336685, skewness=0.4952551090770426, kurtosis=-0.6190340980524076)"
Folk_Mobility_Data,c,variance in predictions,"DescribeResult(nobs=6899, minmax=(2.2927555820141062e-07, 0.0993564741281642), mean=0.007158539281533358, variance=9.27928176333602e-05, skewness=2.4193333270094013, kurtosis=8.167738501252803)"
Folk_Mobility_Data,c,ambiguity,0.183
Folk_Mobility_Data,c,discrepancy,0.123
Folk_Mobility_Data,c,disagreement,"DescribeResult(nobs=28, minmax=(0.0, 0.08951221279988403), mean=0.05122490396462998, variance=0.0005115659608064463, skewness=-0.7768575645650668, kurtosis=-0.06872688718287012)"
Folk_Mobility_Data,d,variance in predictions,"DescribeResult(nobs=6899, minmax=(6.3503185245455196e-06, 0.14399212806681136), mean=0.006500923442003713, variance=7.133940450855364e-05, skewness=4.397243482830123, kurtosis=32.98777490510263)"
Folk_Mobility_Data,d,ambiguity,0.174
Folk_Mobility_Data,d,discrepancy,0.116
Folk_Mobility_Data,d,disagreement,"DescribeResult(nobs=21, minmax=(0.0, 0.0768282960063782), mean=0.03698526594808396, variance=0.0008163642191544963, skewness=0.038767507843991085, kurtosis=-1.5983251817299895)"
Community_Data,M,variance in predictions,"DescribeResult(nobs=399, minmax=(0.00040711558886375647, 0.04762493244237258), mean=0.005498733095913061, variance=5.201030764079486e-05, skewness=3.148009838849247, kurtosis=11.544899824113969)"
Community_Data,M,ambiguity,0.21
Community_Data,M,discrepancy,0.136
Community_Data,M,disagreement,"DescribeResult(nobs=55, minmax=(0.0, 0.09022556390977443), mean=0.03114604693552062, variance=0.0010184782818120548, skewness=0.6559516107829245, kurtosis=-1.1321890250356126)"
Community_Data,a,variance in predictions,"DescribeResult(nobs=399, minmax=(0.00037350054024197835, 0.023252050670631356), mean=0.003746595942953064, variance=1.1287059431201672e-05, skewness=2.2618260635381486, kurtosis=6.648573290286169)"
Community_Data,a,ambiguity,0.23
Community_Data,a,discrepancy,0.136
Community_Data,a,disagreement,"DescribeResult(nobs=5995, minmax=(0.0, 0.09147869674185463), mean=0.017808700232650014, variance=0.000372512456272207, skewness=1.2559857865646142, kurtosis=1.3487135578384688)"
Community_Data,b,variance in predictions,"DescribeResult(nobs=399, minmax=(2.0006745874403488e-05, 0.02260172642856907), mean=0.002708520762551799, variance=1.0016557815759689e-05, skewness=2.498162931676616, kurtosis=8.456736427239969)"
Community_Data,b,ambiguity,0.197
Community_Data,b,discrepancy,0.114
Community_Data,b,disagreement,"DescribeResult(nobs=1485, minmax=(0.0, 0.09147869674185463), mean=0.014159979072259774, variance=0.00030555810982844424, skewness=1.7638853727986978, kurtosis=3.7185753795369827)"
Community_Data,c,variance in predictions,"DescribeResult(nobs=399, minmax=(0.00023431953443877872, 0.02781509022376314), mean=0.00415222517497087, variance=1.0605172441535698e-05, skewness=2.240820235074704, kurtosis=8.550499137232949)"
Community_Data,c,ambiguity,0.176
Community_Data,c,discrepancy,0.113
Community_Data,c,disagreement,"DescribeResult(nobs=55, minmax=(0.0, 0.05012531328320802), mean=0.016609706083390293, variance=0.0003132086564351437, skewness=0.7801155370151531, kurtosis=-0.8385454704693274)"
Community_Data,d,variance in predictions,"DescribeResult(nobs=399, minmax=(0.00011980595258460158, 0.0285028744277262), mean=0.002702156152098028, variance=9.501477819632007e-06, skewness=3.814686416037895, kurtosis=20.218561734172795)"
Community_Data,d,ambiguity,0.138
Community_Data,d,discrepancy,0.095
Community_Data,d,disagreement,"DescribeResult(nobs=45, minmax=(0.0, 0.02506265664160401), mean=0.009440267335004178, variance=0.0001049702177521726, skewness=0.5630873615013121, kurtosis=-1.516064961647585)"
Compas_Data,M,variance in predictions,"DescribeResult(nobs=1235, minmax=(0.0008259812578510716, 0.15733655182356174), mean=0.019927732455070776, variance=0.00044277519617857725, skewness=3.18797284012196, kurtosis=12.072350300381283)"
Compas_Data,M,ambiguity,0.408
Compas_Data,M,discrepancy,0.309
Compas_Data,M,disagreement,"DescribeResult(nobs=36, minmax=(0.0, 0.3522267206477733), mean=0.13087044534412953, variance=0.009762909687797815, skewness=0.44164854612384263, kurtosis=-1.0630713263455491)"
Compas_Data,a,variance in predictions,"DescribeResult(nobs=1235, minmax=(0.0004449581714970263, 0.07818699227008455), mean=0.00917574273331049, variance=9.43993346510819e-05, skewness=2.8676248377622646, kurtosis=10.591155337594639)"
Compas_Data,a,ambiguity,0.368
Compas_Data,a,discrepancy,0.225
Compas_Data,a,disagreement,"DescribeResult(nobs=2556, minmax=(0.0, 0.2680161943319838), mean=0.06372003953545835, variance=0.002094585013223386, skewness=0.7661585333005938, kurtosis=0.6216063483348129)"
Compas_Data,b,variance in predictions,"DescribeResult(nobs=1235, minmax=(7.75270389100588e-05, 0.07705947568104139), mean=0.007283792257497762, variance=9.401734020041369e-05, skewness=2.693779505403856, kurtosis=9.604597781572018)"
Compas_Data,b,ambiguity,0.287
Compas_Data,b,discrepancy,0.189
Compas_Data,b,disagreement,"DescribeResult(nobs=630, minmax=(0.0, 0.18380566801619433), mean=0.051690122742754314, variance=0.0013318059783383606, skewness=0.48096677955807415, kurtosis=-0.4362783756151418)"
Compas_Data,c,variance in predictions,"DescribeResult(nobs=1235, minmax=(1.3840744651876818e-06, 0.1096683023177196), mean=0.010278573165268878, variance=0.00018843571882122973, skewness=3.270385977795658, kurtosis=14.471374277595402)"
Compas_Data,c,ambiguity,0.241
Compas_Data,c,discrepancy,0.172
Compas_Data,c,disagreement,"DescribeResult(nobs=36, minmax=(0.0, 0.1728744939271255), mean=0.07299820062977957, variance=0.0013867164277349658, skewness=0.09592536865639491, kurtosis=0.6821740531697005)"
Compas_Data,d,variance in predictions,"DescribeResult(nobs=1235, minmax=(3.9899998256174966e-05, 0.13646451292146405), mean=0.007876773508488293, variance=0.00021088728871042296, skewness=3.88256132664603, kurtosis=18.412410754042043)"
Compas_Data,d,ambiguity,0.183
Compas_Data,d,discrepancy,0.153
Compas_Data,d,disagreement,"DescribeResult(nobs=28, minmax=(0.0, 0.12874493927125505), mean=0.03969057258530943, variance=0.0017304730649073286, skewness=0.6500355517957355, kurtosis=-0.8666748826520632)"
Adult_Data,M,variance in predictions,"DescribeResult(nobs=6513, minmax=(0.0021039843082480006, 0.16342102384900198), mean=0.025126176687963103, variance=0.00020710315770006087, skewness=3.02328135333125, kurtosis=14.24206576682554)"
Adult_Data,M,ambiguity,0.467
Adult_Data,M,discrepancy,0.365
Adult_Data,M,disagreement,"DescribeResult(nobs=36, minmax=(0.0, 0.40445297504798466), mean=0.14911708253358927, variance=0.016377934147225888, skewness=0.955395067515166, kurtosis=-0.464318680671175)"
Adult_Data,a,variance in predictions,"DescribeResult(nobs=6513, minmax=(1.3491242142753028e-05, 0.10518054152534195), mean=0.009020117845705137, variance=0.00010163006061825274, skewness=2.3694317736796346, kurtosis=9.235190705559429)"
Adult_Data,a,ambiguity,0.335
Adult_Data,a,discrepancy,0.185
Adult_Data,a,disagreement,"DescribeResult(nobs=2556, minmax=(0.0, 0.17351247600767755), mean=0.05918752008746873, variance=0.0017318029213108338, skewness=0.4248348683104659, kurtosis=-0.6545232219124753)"
Adult_Data,b,variance in predictions,"DescribeResult(nobs=6513, minmax=(1.4691682178203272e-05, 0.08869703790277512), mean=0.008069016066230866, variance=8.380476800568082e-05, skewness=2.163333129450351, kurtosis=7.63947975594979)"
Adult_Data,b,ambiguity,0.275
Adult_Data,b,discrepancy,0.151
Adult_Data,b,disagreement,"DescribeResult(nobs=630, minmax=(0.0, 0.17351247600767755), mean=0.0544270785729519, variance=0.0016903474391593246, skewness=0.3853805547783346, kurtosis=-0.8378700823521128)"
Adult_Data,c,variance in predictions,"DescribeResult(nobs=6513, minmax=(9.627983887510207e-06, 0.1128652167199458), mean=0.004552763486899869, variance=6.261807432405421e-05, skewness=4.86605455875759, kurtosis=35.612932554635684)"
Adult_Data,c,ambiguity,0.17
Adult_Data,c,discrepancy,0.125
Adult_Data,c,disagreement,"DescribeResult(nobs=36, minmax=(0.0, 0.07508637236084453), mean=0.025459586265728303, variance=0.0005413479371090786, skewness=0.5642402871870844, kurtosis=-0.769903970461244)"
Adult_Data,d,variance in predictions,"DescribeResult(nobs=6513, minmax=(1.6505987279856662e-05, 0.10478677802084732), mean=0.0062253604551824205, variance=5.3749691582293443e-05, skewness=3.3212570277309426, kurtosis=21.647771895499698)"
Adult_Data,d,ambiguity,0.189
Adult_Data,d,discrepancy,0.121
Adult_Data,d,disagreement,"DescribeResult(nobs=28, minmax=(0.0, 0.08675623800383878), mean=0.040581299698382235, variance=0.0007334801453243399, skewness=-0.04932991230528129, kurtosis=-1.197550761767485)"
German_Data,M,variance in predictions,"DescribeResult(nobs=200, minmax=(0.00010903966991198575, 0.12685432341656697), mean=0.020648802841561745, variance=0.00048104555988087515, skewness=1.9897329082076176, kurtosis=4.5224725463394595)"
German_Data,M,ambiguity,0.362
German_Data,M,discrepancy,0.235
German_Data,M,disagreement,"DescribeResult(nobs=28, minmax=(0.0, 0.2275), mean=0.12258928571428572, variance=0.004334482473544974, skewness=-0.30140838494507466, kurtosis=-1.1173621907359397)"
German_Data,a,variance in predictions,"DescribeResult(nobs=200, minmax=(9.714443319431456e-05, 0.04728594598896014), mean=0.010293663106815098, variance=5.9131733590192925e-05, skewness=1.4591864693694265, kurtosis=3.006243081372097)"
German_Data,a,ambiguity,0.375
German_Data,a,discrepancy,0.208
German_Data,a,disagreement,"DescribeResult(nobs=1540, minmax=(0.0, 0.225), mean=0.07281493506493507, variance=0.0021826736559412, skewness=0.41281297457125166, kurtosis=-0.19494176662318363)"
German_Data,b,variance in predictions,"DescribeResult(nobs=200, minmax=(8.823296460037481e-05, 0.035303742423474005), mean=0.008647218389818074, variance=4.9430777563620146e-05, skewness=1.3477645888770162, kurtosis=1.6682243602451123)"
German_Data,b,ambiguity,0.31
German_Data,b,discrepancy,0.183
German_Data,b,disagreement,"DescribeResult(nobs=378, minmax=(0.0, 0.16), mean=0.06114417989417989, variance=0.0018649174859304166, skewness=0.29687641076060534, kurtosis=-0.726602787755708)"
German_Data,c,variance in predictions,"DescribeResult(nobs=200, minmax=(5.702035543613539e-05, 0.05064747585721986), mean=0.008561046803269997, variance=7.144698074183995e-05, skewness=1.9728575703377453, kurtosis=5.228222984278675)"
German_Data,c,ambiguity,0.227
German_Data,c,discrepancy,0.146
German_Data,c,disagreement,"DescribeResult(nobs=28, minmax=(0.0, 0.15), mean=0.0642857142857143, variance=0.0016809523809523808, skewness=0.09076939546545648, kurtosis=-0.7389545795544756)"
German_Data,d,variance in predictions,"DescribeResult(nobs=200, minmax=(5.005483994418541e-05, 0.04032917760423024), mean=0.006795846911765002, variance=5.072719744187873e-05, skewness=1.995493729422754, kurtosis=4.959131864851379)"
German_Data,d,ambiguity,0.175
German_Data,d,discrepancy,0.134
German_Data,d,disagreement,"DescribeResult(nobs=21, minmax=(0.0, 0.1275), mean=0.05178571428571428, variance=0.001383839285714286, skewness=0.645085964708802, kurtosis=-0.3210880121010913)"
Folk_Income_Data,M,variance in predictions,"DescribeResult(nobs=19785, minmax=(0.0017817079217861808, 0.14079055343224411), mean=0.024187894914080462, variance=0.00017858666929780685, skewness=2.6948444106850347, kurtosis=11.806523226815159)"
Folk_Income_Data,M,ambiguity,0.469
Folk_Income_Data,M,discrepancy,0.352
Folk_Income_Data,M,disagreement,"DescribeResult(nobs=36, minmax=(0.0, 0.37604245640636846), mean=0.15164757251565442, variance=0.013478779540789302, skewness=0.6658831494256707, kurtosis=-0.7645146040620823)"
Folk_Income_Data,a,variance in predictions,"DescribeResult(nobs=19785, minmax=(0.0005341856852922588, 0.08540506406431625), mean=0.009558614646542618, variance=7.031958100880227e-05, skewness=2.205283885628022, kurtosis=8.240512039700764)"
Folk_Income_Data,a,ambiguity,0.381
Folk_Income_Data,a,discrepancy,0.213
Folk_Income_Data,a,disagreement,"DescribeResult(nobs=2556, minmax=(0.0, 0.1995451099317665), mean=0.06428590920470173, variance=0.002166473905807102, skewness=0.4499715183695789, kurtosis=-0.5464378493742559)"
Folk_Income_Data,b,variance in predictions,"DescribeResult(nobs=19785, minmax=(2.2625556972616558e-05, 0.080648654772239), mean=0.008261110831603387, variance=6.413367319803747e-05, skewness=2.184740868141425, kurtosis=7.5141119840593475)"
Folk_Income_Data,b,ambiguity,0.307
Folk_Income_Data,b,discrepancy,0.182
Folk_Income_Data,b,disagreement,"DescribeResult(nobs=630, minmax=(0.0, 0.19423805913570888), mean=0.05577365408297933, variance=0.0022599406682411167, skewness=0.5667888849296685, kurtosis=-0.5510010060226915)"
Folk_Income_Data,c,variance in predictions,"DescribeResult(nobs=19785, minmax=(0.0005772518922826403, 0.1360949984656687), mean=0.011663050053584005, variance=0.00014439902615746036, skewness=2.6909612853159963, kurtosis=11.934700726847893)"
Folk_Income_Data,c,ambiguity,0.287
Folk_Income_Data,c,discrepancy,0.163
Folk_Income_Data,c,disagreement,"DescribeResult(nobs=36, minmax=(0.0, 0.15903462218852665), mean=0.08358605003790749, variance=0.0028106359582706045, skewness=0.010950112039437819, kurtosis=-1.3823071019246467)"
Folk_Income_Data,d,variance in predictions,"DescribeResult(nobs=19785, minmax=(1.4894753604696948e-05, 0.16041210870574812), mean=0.006409927591719611, variance=8.543973257370307e-05, skewness=6.072527219016246, kurtosis=59.807931483869474)"
Folk_Income_Data,d,ambiguity,0.181
Folk_Income_Data,d,discrepancy,0.122
Folk_Income_Data,d,disagreement,"DescribeResult(nobs=28, minmax=(0.0, 0.09138236037402073), mean=0.038498682262897564, variance=0.0008857323387322049, skewness=0.02036905368841332, kurtosis=-1.3271662574600738)"
Folk_Travel_Data,M,variance in predictions,"DescribeResult(nobs=17615, minmax=(3.970603675765659e-06, 0.1268004849132), mean=0.0052985522496924115, variance=7.842462994354106e-05, skewness=5.665927434695011, kurtosis=46.19454178761335)"
Folk_Travel_Data,M,ambiguity,0.149
Folk_Travel_Data,M,discrepancy,0.108
Folk_Travel_Data,M,disagreement,"DescribeResult(nobs=10, minmax=(0.0, 0.07317834738425728), mean=0.029143603281387494, variance=0.0005198682401183406, skewness=0.18004490799236023, kurtosis=-0.3681252283591121)"
Folk_Travel_Data,a,variance in predictions,"DescribeResult(nobs=17615, minmax=(3.3436662532763442e-06, 0.0743798748208925), mean=0.0036226133594817666, variance=2.324297874223841e-05, skewness=5.159610344490815, kurtosis=44.53332459166505)"
Folk_Travel_Data,a,ambiguity,0.146
Folk_Travel_Data,a,discrepancy,0.102
Folk_Travel_Data,a,disagreement,"DescribeResult(nobs=190, minmax=(0.0, 0.0656277498651679), mean=0.0171406332402581, variance=0.0002779210492853129, skewness=0.8119806473535078, kurtosis=0.118728329175255)"
Folk_Travel_Data,b,variance in predictions,"DescribeResult(nobs=17615, minmax=(2.490651591981637e-07, 0.07205932553150864), mean=0.003217835106500367, variance=1.6844680636786634e-05, skewness=2.921372255932878, kurtosis=15.970997977998678)"
Folk_Travel_Data,b,ambiguity,0.105
Folk_Travel_Data,b,discrepancy,0.086
Folk_Travel_Data,b,disagreement,"DescribeResult(nobs=45, minmax=(0.0, 0.0365040165772517), mean=0.014993960152778171, variance=0.00022332539166285907, skewness=0.26755542253110964, kurtosis=-1.5747654738323136)"
Folk_Travel_Data,c,variance in predictions,"DescribeResult(nobs=17615, minmax=(4.18025168433423e-06, 0.06892148393632015), mean=0.0037914498228944125, variance=2.0440668875769826e-05, skewness=4.128051454549829, kurtosis=30.595504323685482)"
Folk_Travel_Data,c,ambiguity,0.128
Folk_Travel_Data,c,discrepancy,0.079
Folk_Travel_Data,c,disagreement,"DescribeResult(nobs=10, minmax=(0.0, 0.02937920463254705), mean=0.014090663941638992, variance=0.00013325396451689512, skewness=0.07353711526986678, kurtosis=-1.66754590450217)"
Folk_Travel_Data,d,variance in predictions,"DescribeResult(nobs=17615, minmax=(6.727753244315542e-08, 0.0861674255694871), mean=0.0028838260766381237, variance=2.7382217375605e-05, skewness=6.026590398496819, kurtosis=58.60330176170707)"
Folk_Travel_Data,d,ambiguity,0.079
Folk_Travel_Data,d,discrepancy,0.067
Folk_Travel_Data,d,disagreement,"DescribeResult(nobs=6, minmax=(0.0, 0.015328280677850635), mean=0.0108007607368929, variance=4.635719441300193e-05, skewness=-0.8341914443010368, kurtosis=-1.1376448713563958)"
Folk_Mobility_Data,M,variance in predictions,"DescribeResult(nobs=6899, minmax=(0.0009093000068182925, 0.10893554252323472), mean=0.019431365652932353, variance=0.0001254743834260125, skewness=2.4401326526878133, kurtosis=10.146826868720446)"
Folk_Mobility_Data,M,ambiguity,0.419
Folk_Mobility_Data,M,discrepancy,0.289
Folk_Mobility_Data,M,disagreement,"DescribeResult(nobs=28, minmax=(7.247952453431905e-05, 0.3656592012756396), mean=0.14608765880781535, variance=0.015117221180449388, skewness=0.6111888192008149, kurtosis=-1.0725324455923413)"
Folk_Mobility_Data,a,variance in predictions,"DescribeResult(nobs=6899, minmax=(0.00010280027797833567, 0.06815348530811305), mean=0.007363585525436892, variance=3.673126021645274e-05, skewness=2.483404983649931, kurtosis=10.395529836759886)"
Folk_Mobility_Data,a,ambiguity,0.33
Folk_Mobility_Data,a,discrepancy,0.161
Folk_Mobility_Data,a,disagreement,"DescribeResult(nobs=1540, minmax=(0.0, 0.2069290425454809), mean=0.05033646501356873, variance=0.0016228800836540823, skewness=0.6111546093981535, kurtosis=-0.2753284463757124)"
Folk_Mobility_Data,b,variance in predictions,"DescribeResult(nobs=6899, minmax=(3.372601474116609e-05, 0.10728121229429327), mean=0.0060314185226623285, variance=4.5085529295248e-05, skewness=3.6934825363602184, kurtosis=24.159145053334438)"
Folk_Mobility_Data,b,ambiguity,0.268
Folk_Mobility_Data,b,discrepancy,0.148
Folk_Mobility_Data,b,disagreement,"DescribeResult(nobs=378, minmax=(0.0, 0.14735087337827063), mean=0.038882580485827566, variance=0.0011705878751336685, skewness=0.4952551090770426, kurtosis=-0.6190340980524076)"
Folk_Mobility_Data,c,variance in predictions,"DescribeResult(nobs=6899, minmax=(3.4381520877473425e-05, 0.07729885923006799), mean=0.006079604765481244, variance=4.6861019799940866e-05, skewness=2.9309300506585365, kurtosis=13.720010267230165)"
Folk_Mobility_Data,c,ambiguity,0.211
Folk_Mobility_Data,c,discrepancy,0.132
